證券代號,證券名稱,成交股數,成交筆數,成交金額,開盤價,最高價,最低價,收盤價,漲跌(+/-),漲跌價差,最後揭示買價,最後揭示買量,最後揭示賣價,最後揭示賣量,本益比,Unnamed: 16
057932,美律群益98購04,"41,000",2,"25,590",0.69,0.69,0.60,0.60,+,0.16,0.55,25,0.58,10,125.00,
057933,聯發科群益98購06,"65,000",7,"48,100",0.95,0.95,0.56,0.60,-,0.18,0.53,25,0.57,10,320.00,
057934,華新科群益98購07,0,0,0,--,--,--,--, ,0.0,0.22,25,0.23,10,156.50,
057935,晶技群益98購02,0,0,0,--,--,--,--, ,0.0,0.60,25,--,0,44.00,
057936,健策群益99購01,"11,000",1,"2,310",0.21,0.21,0.21,0.21,X,0.0,0.14,25,0.24,10,149.50,
057937,神達群益98購02,"308,000",5,"142,750",0.47,0.47,0.42,0.42,-,0.06,0.33,25,0.35,10,27.75,
057938,台表科群益98購02,0,0,0,--,--,--,--, ,0.0,0.15,25,--,0,69.80,
057939,鈺齊群益98購02,0,0,0,--,--,--,--, ,0.0,0.16,25,0.17,10,85.90,
05793P,臺股指中信99售08,"65,000",17,"229,070",3.43,3.91,3.43,3.91,+,0.7,3.89,499,--,0,0.00,
057940,和大國票99購01,0,0,0,--,--,--,--, ,0.0,0.38,25,0.40,10,90.60,
057941,聯電國票99購01,"12,000",2,"6,000",0.51,0.51,0.45,0.45,-,0.07,0.46,25,0.49,10,13.90,
057942,可成國票99購02,"130,000",6,"25,800",0.21,0.23,0.19,0.23,-,0.03,0.17,25,0.27,10,187.00,
057943,可成國票99購03,0,0,0,--,--,--,--, ,0.0,0.38,25,0.41,10,187.00,
057944,新日興國票99購02,0,0,0,--,--,--,--, ,0.0,0.86,25,0.91,10,109.00,
057945,京鼎國票99購03,"80,000",2,"23,400",0.38,0.38,0.28,0.28,-,0.1,0.26,25,0.27,10,111.00,
057946,晶相光國票99購01,0,0,0,--,--,--,--, ,0.0,0.11,90,0.48,10,80.90,
057947,和碩國票99購01,0,0,0,--,--,--,--, ,0.0,0.32,25,0.34,10,52.60,
057948,嘉聯益國票99購02,0,0,0,--,--,--,--, ,0.0,0.43,25,0.48,10,24.20,
057949,南電國票99購01,"16,000",1,"25,120",1.57,1.57,1.57,1.57,+,0.42,1.01,25,1.06,10,43.70,
05794P,華邦電群益96售04,0,0,0,--,--,--,--, ,0.0,3.26,25,3.36,10,0.00,
057950,T50正2元大9B購04,"20,000",1,"3,000",0.15,0.15,0.15,0.15,-,0.18,0.20,10,0.22,10,34.63,
057951,元油2X元大98購20,0,0,0,--,--,--,--, ,0.0,--,0,0.10,10,4.03,
057952,元油2X元大98購21,0,0,0,--,--,--,--, ,0.0,--,0,0.10,10,4.03,
057953,聚陽元大98購01,"293,000",33,"123,970",0.47,0.47,0.34,0.35,-,0.1,0.36,100,0.37,10,113.50,
057954,宏碁元大99購01,"244,000",25,"135,620",0.62,0.64,0.50,0.50,-,0.16,0.40,25,1.50,100,13.50,
057955,技嘉元大98購07,"2,000",1,"1,000",0.50,0.50,0.50,0.50,X,0.0,0.48,100,0.49,10,43.75,
057956,全新元大99購04,0,0,0,--,--,--,--, ,0.0,0.06,166,0.25,10,74.20,
057957,嘉晶元大98購01,"38,000",5,"101,580",2.66,2.75,2.45,2.62,+,0.08,2.02,10,2.04,10,49.50,
057958,禾伸堂元大99購05,"4,000",2,"3,080",0.80,0.80,0.76,0.76,+,0.14,0.60,100,0.61,10,88.50,
057959,欣興元大98購14,"13,000",4,"9,250",0.73,0.73,0.66,0.66,-,0.06,0.44,100,0.45,10,28.40,
05795P,華邦電群益96售05,0,0,0,--,--,--,--, ,0.0,4.01,25,4.11,10,0.00,
057960,聯鈞元大98購02,"50,000",5,"29,200",0.60,0.60,0.57,0.57,+,0.05,0.51,100,0.52,10,59.00,
057961,茂林元大9A購01,"104,000",23,"73,870",0.77,0.77,0.61,0.61,-,0.22,0.48,12,0.58,10,91.80,
057962,超眾元大99購03,"20,000",2,"24,900",1.47,1.47,1.02,1.02,-,0.32,0.92,100,0.93,10,168.00,
057963,緯穎元大98購08,"10,000",1,"13,100",1.31,1.31,1.31,1.31,+,0.82,0.94,100,0.95,10,661.00,
057964,緯穎元大99購03,"138,000",12,"225,900",1.69,1.70,1.37,1.37,-,0.22,1.36,100,1.37,8,661.00,
057965,臺股指元大98購14,"971,000",41,"470,140",0.51,0.57,0.42,0.42,-,0.15,0.42,95,0.43,10,0.00,
057966,金融類元大98購01,0,0,0,--,--,--,--, ,0.0,0.25,100,0.26,10,0.00,
057967,聯發科國泰9A購02,"53,000",2,"29,150",0.55,0.55,0.55,0.55,+,0.03,0.43,499,0.46,30,320.00,
057968,可成國泰9A購01,0,0,0,--,--,--,--, ,0.0,0.23,499,--,0,187.00,
057969,緯穎國泰99購01,"510,000",30,"628,430",1.31,1.31,1.14,1.20,+,0.02,1.02,10,1.38,1,661.00,
05796P,臺股指群益96售10,0,0,0,--,--,--,--, ,0.0,24.20,499,--,0,0.00,
057970,國巨富邦99購03,"20,000",2,"4,900",0.25,0.25,0.24,0.24,+,0.05,0.13,10,0.23,10,290.50,
057971,華新科富邦9B購02,0,0,0,--,--,--,--, ,0.0,0.10,10,0.13,10,156.50,
057972,群創富邦9C購01,"2,000",1,880,0.44,0.44,0.44,0.44,+,0.03,0.40,10,0.44,10,6.02,
057973,神達富邦9A購01,"43,000",2,"20,870",0.47,0.49,0.47,0.49,+,0.02,0.39,11,0.42,10,27.75,
057974,上銀永豐98購02,"400,000",1,"28,000",0.07,0.07,0.07,0.07,-,0.02,0.04,499,0.06,30,219.00,
057975,台積電永豐98購05,0,0,0,--,--,--,--, ,0.0,0.25,499,0.28,30,276.50,
057976,旺宏永豐98購03,"20,000",1,"9,200",0.46,0.46,0.46,0.46,-,0.01,0.28,499,0.29,30,27.20,
057977,台光電永豐98購02,0,0,0,--,--,--,--, ,0.0,0.55,499,0.56,30,104.50,
057978,聯發科永豐98購05,"183,000",11,"77,520",0.46,0.46,0.32,0.32,-,0.19,0.31,30,0.32,30,320.00,
057979,華新科永豐98購03,0,0,0,--,--,--,--, ,0.0,0.04,499,0.06,30,156.50,
05797P,臺股指群益96售11,0,0,0,--,--,--,--, ,0.0,14.30,499,--,0,0.00,
057980,聯詠永豐98購01,0,0,0,--,--,--,--, ,0.0,0.22,499,0.23,30,171.50,
057981,臻鼎永豐98購01,"48,000",4,"6,160",0.14,0.14,0.12,0.13,-,0.03,0.11,30,0.13,30,87.80,
057982,帆宣永豐98購01,0,0,0,--,--,--,--, ,0.0,0.10,30,0.15,30,57.80,
057983,緯穎永豐98購03,0,0,0,--,--,--,--, ,0.0,0.29,499,--,0,661.00,
057984,聯發科台新98購01,"499,000",1,"229,540",0.46,0.46,0.46,0.46,X,0.0,0.32,10,0.41,10,0.00,
057985,華通元富02購03,"80,000",3,"59,000",0.80,0.80,0.57,0.57,-,0.1,0.52,25,0.54,25,29.70,
057986,華新科元富99購05,"792,000",49,"155,110",0.24,0.24,0.14,0.14,-,0.06,0.12,25,0.13,10,156.50,
057987,大立光元富98購02,0,0,0,--,--,--,--, ,0.0,--,0,--,0,"3,725.00",
057988,鈺齊元富98購02,"2,000",1,"1,440",0.72,0.72,0.72,0.72,X,0.0,0.63,25,0.65,10,85.90,
057989,旺宏統一99購04,0,0,0,--,--,--,--, ,0.0,0.31,10,0.33,10,27.20,
05798P,臺股指群益96售12,0,0,0,--,--,--,--, ,0.0,19.90,499,--,0,0.00,
057990,美律統一99購02,0,0,0,--,--,--,--, ,0.0,0.50,10,0.60,10,125.00,
